episode;date;teaser
848;6-6-2019;Een kunstenaarshuis, Nadia bezoekt Maggie Xu om samen Chinese dumplings te maken en een historische moestuin op landgoed Amelisweerd.
849;7-6-2019;Een Japans georiënteerde woonboot, Job laat Alain zijn zelfgestookte limoncello proeven en de paradijselijke tuin van Gertie en Harrie.
850;10-6-2019;Een statig, maar sfeervol herenhuis in Leiden, Marieke gaat tijdens de reeënbronst op de Utrechtse Heuvelrug op zoek naar reeën.
851;11-6-2019;Theo-Bert verandert de slaapkamer van Marrit (12), Ramon maakt Mexicaanse bonensoep en gevulde avocado en een moestuin in Loosdrecht.
852;12-6-2019;Het oude postkantoor in De Bilt is nu een woonhuis met veel licht en Alain proeft kaas en worst van de geiten van Doetie in Friesland.
853;13-6-2019;Hennie woont in een duurzaam tiny house in Almere, Sharon maakt wonton met kipgehakt en gamba's en een bijzondere siertuin in Lierop.
854;14-6-2019;In Woudsend is een oude kerk nu bijzonder woonhuis en Leon en Lendl zien in Egchel de grootste overdekte wijndruivenkas van Europa.
855;17-6-2019;Marlien en Willem wonen in centrum Enschede in een verbouwde boerderij en Nadia ontmoet de teruggekeerde melkboer in Amsterdam.
856;18-6-2019;Een zwarthouten huis in Willemsoord, Sharon maakt salade en gebakken funchi en Martin helpt Angelo en Anita in Zwolle van hun rare gras af.
857;19-6-2019;Zestien verschillende siertuinen met elk een eigen sfeer en kleur in Demen en in het noorden van het land proeft Leon Groninger mosterd.
858;21-6-2019;Een verbouwd winkelpand in Leeuwarden is nu een kleurrijk, fijn woonhuis en de kudde IJslanders in ons lands oudste duinen.
859;21-6-2019;Het tweede BinnensteBuiten Festival op Fort Rijnauwen bij Utrecht met alle experts, kookdemonstraties, wandelingen en veel inspiratie.
860;25-6-2019;Italian chic in een oude school, chef-kok Ramon maakt Wiener Rostbraten met bloemkool en een siertuin geà¯nspireerd op een kinderdroom.
861;26-6-2019;Camilla checkt de Marker Wadden voor vogels, een wit badplaatshuis uit 1908 en Sharon maakt vegetarische bananensoep met Johnnycakes.
862;26-6-2019;Peter teelt verse sojabonen in Nederland, Alain kookt ermee én een waanzinnig huis dat meedraait met de zon. Elk uur een ander uitzicht.
863;27-6-2019;Wonen in een quarantainecomplex, met alle liefde voor de geschiedenis en de tuin van Beerd is als een oosters sprookje, mét tempel.
864;28-6-2019;In Limburg herinnert Jac chef-kok Léon aan vergeten groenten en de prachtige tuinen van Kasteel Anholt, het levenswerk van de rentmeester.
865;1-7-2019;Een voormalig vakantiehuisje als woning midden in het bos, Sharon maakt comfortfood in een kommetje en Camilla probeert roerdompen te horen.
866;2-7-2019;Ramon houdt het betaalbaar en kookt met restjes, Gerda's oogstrelende tuin langs het spoor en een seventies huis met fifties inrichting.
867;3-7-2019;Alain proeft en ruikt in Amsterdam met Lara aan voedsel dat wordt weggedaan en Theo-Bert maakt een lange, kale muur in huis gezellig.
868;4-7-2019;In Overijssel geniet Nadia van versgeoogste noten, een ecohuis in Veghel en de Doolman tuin, waar je kan dwalen tot je een ons weegt.
869;5-7-2019;In de Achterhoek ziet Leon dat er meer eetbare pompoenen zijn dan verwacht en een prachtige boerderij met creatieve bewoners in Loosdrecht.
870;8-7-2019;Een ecohuis aan de Zeeuwse kust, Ramon maakt souvlaki met kip en Marieke bezoekt het oudste bos van de Flevopolder.
871;9-7-2019;Een appartement vol eyecatchers in Den Bosch, Sharon maakt kofta, aubergines en couscous en een drijvende tuin in Amsterdam.
872;10-7-2019;Een verbouwd huis in Wateringen vol tweedehands pareltjes, Alain proeft rozenbottels en een echtpaar met passie toont hun bijzondere tuin.
873;11-7-2019;Een duurzaam huis met Aziatische invloeden, Sharon maakt Creoolse rundvleessoep en Martins heerlijke balkontuin in een oude schoenfabriek.
874;15-7-2019;Twee appartementen met tuin, volledig geà¯nspireerd op het Verre Oosten en Alain is bij Diny en Floris die ambachtelijke varkenspastei maken.
875;15-7-2019;Wonen in een oude munitie-opslag in Zaandam, Ramon maakt Turkse börek met spinazie en feta, schaapherder Marianne op de Drentse Balloërheide.
876;16-7-2019;Sharon maakt pizza op Turks brood met gegrilde tonijn, een multicultureel interieur in Den Haag en de bijzondere Walburgtuinen in Nuenen.
877;18-7-2019;Nadia bezoekt een biologische akkerbouwer die vleesvervangende producten maakt en interieurstylist Debby maakt een woonkamer knusser.
878;18-7-2019;Alain bezoekt een ambachtelijke bakker, Camilla is in de Bieschbosch en een duurzame, houten skeletwoning in Rotterdam.
879;19-7-2019;Maartje en Toon genieten elke dag van hun wederopbouwboerderij in Molenschot en Leon en Lendl ontmoeten drie genereraties wijnmakers in Maastricht.
880;21-7-2019;Hoogtepunten van het tweede BinnensteBuiten-Festival op Fort Rijnauwen bij Utrecht, met alle experts, kookdemonstraties, wandelingen en veel inspiratie.
881;22-7-2019;"Een vrijstaand knus huisje in Uitgeest, chef-kok Ramon maakt 'tomapork' met gremolata en piekuur bij fotograaf Dingena; bloesemtijd!"
882;23-7-2019;Sharon maakt gnocchi-ovenschotel met megaveel kaas. Vogelaar Camilla zoekt en vindt de specht en het kleurrijke, lichte huis van Mechtelien.
883;23-7-2019;Een volledig verbouwd schaapherdershuis, Ramon maakt carpaccio en fusilli met ratatouille, Martin maakt een tegeltuin bomvol en groen.
884;24-7-2019;"Alain is op pad met Mineke; zij maakt sap van afgekeurde groenten en tuinbaas Marco laat de parels zien in de tuin van Kasteel de Vanenburg."
885;25-7-2019;Meta en Kasim moeten hun tuin echt opknappen, Ramon maakt donuts met frambozenjam en Wilfreds huis staat vol zelfgemaakte houten meubels.
886;26-7-2019;Rick heeft z'n statige historisch pand in Den Haag eclectisch behangen, Léon Mazairac bakt mooi vlees van een goede slager à¨n geweldige koeien.
887;29-7-2019;In Sevenum wonen als God in Frankrijk, Sharon roerbakt gamba's bij de mie en wat zijn die één meter hoge koetjes?
888;30-7-2019;Godelijn en Antoine zijn samen gaan wonen, mét elkaars kinderen én elkaars kunst en de pracht van de Keukenhof door de ogen van de tuinman.
889;31-7-2019;Chef-kok Ramon is bij chocolademaker Mark, een jong stel in een levensloopbestendig nieuwbouwhuis en Rick en Arjuna's roodbonte kudde.
890;1-8-2019;Boswachter Marieke legt het gevaar van de teek uit, wonen in een schilderij in Twente en Nadia houdt voorjaarsproeverij met biologisch ijs.
891;2-8-2019;Alain leert échte brabantse worstenbroodjes maken en Theo-Bert werkt met een zevenkoppig gezin aan een praktische woonkamer.
892;4-8-2019;Een tiny house, puddingbroodjes, Camilla zoekt kustvogels, een Haagse zelfverbouwde woning, Leon en Lendl proeven biologisch bier.
893;5-8-2019;Oude dokterswoning in Didam, Ramon Brugman maakt risotto met kruiden, groente en verse gerookte zalm en siertuin Gooilust in 's-Graveland.
894;6-8-2019;Sharon maakt fesenjan, een Perzische stoofschotel, Anton en Annet hebben Nolana-schapen. Jordie en Ayla bouwen hun woning zo goed als zelf.
895;7-8-2019;'Wonen in kasteel Loenen is niet altijd romantisch', zegt Alexander en Staatsbosbeheer bestaat 120 jaar, een feestje voor de natuur.
896;8-8-2019;Lichte woning in Breda vol bijzondere souvenirs, Martin maakt een voortuin mooi in Eindhoven en Ramon maakt roze koeken die oranje zijn.
897;9-8-2019;Alain Caron gaat barbecueën in Buren waar Peter biologische varkens heeft en de rijke historie van het Hodson-huis Haarlem, met veertig vertrekken.
898;11-8-2019;Een loft in een oude fabriek, Ramon maakt donuts, trekpaarden in Zuid-Limburg, een weelderige woning en Léon gaat naar de Fleckvieh-koeien.
899;12-8-2019;Een voormalige bediendenwoning in Zierikzee, Sharon maakt spaghetti met vis en witte wijn-roomsaus en een bijzondere boomgaard in Amsterdam.
900;13-8-2019;Camilla spot weidevogels op Terschelling en Alain leert ketchup maken in Zeeland. Hij maakt er een overwegend rood gerecht mee!
901;14-8-2019;Nadia kookt met Pierre Wind een schilderij van Mondriaan! En Theo-Bert brengt warmte in de woonkamer van Wesselien en Rieks.
902;16-8-2019;Manon Henzen vertelt Leon Mazairac wat Nederland at tijdens WOII en de tuin van het Rijksmuseum is ook een prachtig kunstwerk!
903;16-8-2019;Een duurzaam zelfontworpen huis in Tilburg, chef-kok Ramon maakt frietje stoofvlees en een bloeiende ecologische cottagetuin.
904;18-8-2019;Bas en Lisa wonen in een hofstede, Ramon maakt gevulde koeken, vogelaar Camilla heeft haar geluksdag en Alain leert alles over kiemgroenten.
905;20-8-2019;Utrechts huis met art deco- en jugendstilinvloeden, Ramon kookt met z'n moeder voor moederdag en de wollige bosvarkens op landgoed Zuylestein.
906;20-8-2019;Utrechts huis met art deco en jugendstil invloeden, Ramon kookt met z'n moeder voor moederdag en de wollige bosvarkens op landgoed Zuylestein.
907;21-8-2019;Sharon maakt seitan, bulgur en balsamico-sperziebonen, de oud-Hollandsche tuin van kasteel Sypesteyn en een duurzame waterwoning in Woerden.
908;21-8-2019;Sharon maakt seitan, bulgur en balsamico-sperziebonen, de oud-Hollandsche tuin van kasteel Sypesteyn en een duurzame waterwoning in Woerden.
909;22-8-2019;Chef-kok Leon is bij Kees op een 'Berkshire varkenscamping' en boswachter Bertwins vader is ook boswachter. Hij laat hem Vlieland zien.
910;22-8-2019;Chef-kok Leon is bij Kees op een Berkshire varkens 'camping' en boswachter Bertwins vader is ook boswachter! Hij laat hem Vlieland zien.
911;23-8-2019;Martin maakt een moestuin aan de Linge voor Marianne, een duurzame woning in de vorm van een hooiberg en Ramons aardappelsalade met zalm.
912;23-8-2019;Martin maakt een moestuin aan de Linge voor Marianne, een duurzame woning in de vorm van een hooiberg en Ramon maakt aardappelsalade met zalm.
913;25-8-2019;Huis in een touwfabriek, 'dronken kip' van Sharon, Marieke gaat naar Drenthe, Léon vist scharrelforellen en wonen in een metalen grot.
914;26-8-2019;Bart heeft een bijzondere woonboot met licht, luxe en een plantenwand en Alain zet zijn tanden in vers gestoken wit goud, in Limburg!
915;26-8-2019;Een oude burgemeesterswoning vol kunst, Sharon maakt een chocolade-avocadotaart en Marieke bezoekt Fort Rammekens in Zeeland.
916;27-8-2019;Een vakantiehuis uit 1929 in Warmond, een heerlijke picknickmand, gevuld door Ramon en de prachtige tuin van kasteel Warmelo in Diepenheim.
917;28-8-2019;Leo en Jacky hebben hun afgebrande boerderij weer opgebouwd in nieuwe stijl en Alain bezoekt een boterboer in de Weerribben.
918;29-8-2019;Een duurzaam stalen huis in Dokkum, Nadia bezoekt een urban farm en Brookergarden in het Limburgse Hout-Blerick.
919;30-8-2019;Hoogtepunten van het Binnenstebuitenfestival: boswandelingen, interieur- en tuinworkshops en kookdemonstraties van de chef-koks.
920;1-9-2019;Een Delftse benedenwoning, Ramon bakt baklava, Martin verwijdert nepgras, een kapiteinshuis in Harlingen en Alain bezoekt een wereldkeuken.
921;2-9-2019;Amar en Jeroen hebben een 'urban jungle' in hun ecohuis, Camilla gaat op zoek naar de grote karekiet en Ramon barbecuet met runderribstuk.
922;3-9-2019;Het woonhuis van Joos en Paul is door hun zoon ontworpen, Sharon maakt een zomers pastagerecht, en een heerlijke tuin vol klaprozen.
923;4-9-2019;In Gouda hebben Sandra en Marco een oude garage verbouwd tot woning en Alain maakt kennis met huttentut-olie.
924;5-9-2019;Interieurstylist Theo-Bert tovert een woonkamer om in Marokkaanse sfeer, Ramon maakt een traditionele vitello tonato en de grote rozentuin in Lottum.
925;6-9-2019;Een gerestaureerde boerderij op landgoed Keppel, chef-kok Leon bezoekt in Drenthe een kruidenbedrijf, dat het geurige theekruid Verveine teelt.
926;7-9-2019;Esther en Jan zijn trots op hun zwarte dijkhuis in Schardam en Nadia waant zich in Zuid-Europa tussen de Limburgse lavendel van Roger en Linda.
927;8-9-2019;Kasteel Loenen, Leon is bij Kees op een Berkshire varkens 'camping', Ramon kookt met z'n moeder, Camilla spot weidevogels op Terschelling.
928;9-9-2019;Wonen met zicht op een stadpaleis in Bergen op Zoom, zalm in een krokant jasje en op de Kortenhoefse Plassen bloeien de waterplanten.
929;10-9-2019;In Gouda wonen Ank en Maarten in een oude stoomdrukkerij, Nadia maakt een gerecht met frambozen en Suzanne heeft een permacultuurtuin in Den Haag.
930;11-9-2019;Alain eet bloemen in Avenhorn, en Ineke en Alexander wonen in hun droomhuis bij de bossen van Goirle.
931;12-9-2019;Ramon maakt vitello tonato met makreel, in plaats van tonijn. En op de Veluwe spot boswachter Rick de reuzenkever het vliegend hert.
932;13-9-2019;Alain gaat zijn favoriete groente lamsoortjes snijden en tuinspecialist Martin helpt Annemarie en Florentijn met hun splitlevel-tuin in Lisse
933;16-9-2019;In Giethoorn-Noord wonen Jan en Ineke Bouwmeester op een idyllische plek, boswachter Marieke bezoekt het Bentwoud en Ramon maakt een pittige hotdog.
934;17-9-2019;Mark en Vivian wonen samen met hun dochtertje in een oude boerderij, Sijmen en Sissie wonen en werken op de oudste biologische tuinderij van Nederland en Sharon maakt een courgetteburger.
935;18-9-2019;Architectuurhistoricus Valentijn Carbo is op Vlieland en dierenarts Maurits en zijn vrouw Monique zorgen samen met hun vier kinderen voor heel veel dieren in en om hun huis.
936;19-9-2019;Theo-Bert helpt Elly en Frank bij het opknappen van hun slaapkamer, in Brabant runnen Bart en Daniëlla een zorgtuinderij en Ramon maakt zomerse taco's.
937;20-9-2019;In Deventer wonen Margreet en Mark in een zeer kleurrijke villa, in de Betuwe bezoeken Leon en Lendl een wijngaard en gebruiken ze de groene oogst, versjus, als smaakmaker in hun gerechten.
938;23-9-2019;Wonen in een 104 jaar oude watertoren, Sharon maakt een lekkere surf & turf en Marieke verkent met haar collega Roel de Rottige Meente.
939;24-9-2019;Wonen in een monumentaal nieuwbouwpand, Ramon maakt een salade met karbonade en Martin verandert een saaie tuin in een moderne fijne plek.
940;25-9-2019;Suzanne en Bob wonen in een bijzondere molen in St. Pancras en Alain droomt weg bij de Franse kaas van Mathilde.
941;26-9-2019;Egbert en Femke wonen hartje Amsterdam in een omgebouwd graanschip en Nadia Zerouali bezoekt een bijzondere boomgaard, waar vijgen groeien.
942;27-9-2019;Op de oude plek van een steenfabriek in Opheusden staat nu het droomhuis van Jacoline en Alain gaat de zee op met wrakvisser Gertjan.
943;29-9-2019;Een ecohuis met binnenjungle, Marieke in het Bentwoud, een vegaburger van Sharon, monumentaal wonen in Brabant en Alain kookt met bloemen.
944;30-9-2019;Ramon bezoekt een molenaar die speciale baktarwe maalt en Marieke onderzoekt de invasieve exoten, planten die niet in Nederland thuis horen.
945;1-10-2019;Wonen in een oud koetshuis, Sharon maakt een quinoaburger en landschapsarchitect Andrew vindt dat je je tuin niet te veel moet regisseren.
946;2-10-2019;Interieurstylist Theo Bert maakt de aangepaste woning van Grietje romantisch en huiselijk en chef-kok Leon gaat wadvissen.
947;3-10-2019;Ingrid woont in een bijzonder tiny house, de moestuin van Suzanne is geheel volgens de permacultuur ingericht en Ramon maakt verse cannelloni.
948;4-10-2019;Robert en Mieke wonen in een loft boven in de oude Schiecentrale in Rotterdam en Alain is bij een groentekweker in Noord-Holland die paarse spitskool teelt.
949;6-10-2019;Een drukkerij als huis, Ramons pittige hotdogs, het unieke vliegend hert, Leon en Lendl ontdekken verjus en een zelfontworpen woonboerderij.
950;7-10-2019;Een historische moestuin bij kasteel Markiezenhof, Sharon maakt gegrilde kipspiesen en een appartement met eigen oranjerie op het dak.
951;8-10-2019;Wonen in een oud, gerefromeerd Amsterdams kerkje vol kunst en bijzondere objecten en Alain gaat aan de slag met biologische rundvlees.
952;9-10-2019;Een bijzondere, uitgebouwde arbeiderswoning in Rotterdam, Camillia struint het Groningse Zuidlaardermeergebied af, Nadia bezoekt een Hollandse chilipeperteler en maakt een lekker gerecht.
953;10-10-2019;Een energiezuinig en duurzaam, blauw huis in Den Haag, de prachtige tuin met kwekerij van Eric en Fleur en de tartelette met citroen van Ramon.
954;11-10-2019;Een kantoorpand omgetoverd tot karakteristieke villa, Leon bezoekt een Achterhoekse chef-kok en Martin maakt een tuin met zon én schaduw.
955;13-10-2019;Wonen in een watertoren, quinoaburgers van Sharon, moestuinieren in de Hofstad, Theo-Berts behangspektakel en Alain kookt met wrakvis.
956;14-10-2019;Marianne heeft haar huis in Utrecht zelf creatief opgeknapt, Ramon maakt een Bretonse vissoep en Marieke bewondert de heide op de Veluwe.
957;15-10-2019;Een historisch huis in Oosterleek, een hartige en zoete taart ineen en stadsherderin Maria leidt haar kudde door het centrum van Rotterdam.
958;16-10-2019;Interieurstylist Theo Bert richt een Arnhemse woonkamer in en chef-kok Leon en sommelier Lendl ontmoeten een bijzondere wijnmaker in België.
959;17-10-2019;Wonen in een duurzame kleuterschool, Ramon maakt een Drentse krentewegge en Alice heeft een paradijselijke tuin in de Betuwe.
960;18-10-2019;Een herenhuis in Alkmaar vol creatieve oplossingen en Alain Caron is in het Drentse Veenhuizen, waar Martin natuurkaas maakt.
961;20-10-2019;Panoramisch uitzicht in Rotterdam, patisserie van Ramon, een uniek tiny house, Camilla spot broedvogels en Leon kookt vers van het wad.
962;21-10-2019;Een tot woonhuis ombouwde smederij, Sharon maakt een heerlijk Indiaas gerecht: vegetarische biryani en boswachter Marieke is in Fort Sabina, West-Brabant, onderdeel van de Zuiderwaterlinie.
963;22-10-2019;Een duurzaam huis in de duinen bij IJmuiden, Ramon maakt babi ketjap met nasi goreng en biolgisch geteelde bloemen in Hilversum.
964;23-10-2019;Wonen in een statig herenhuis vol bijzondere kunst in Dordrecht en Alain Caron gaat in Zwolle samen met driesterrenchef Jonnie Boer het water op.
965;24-10-2019;Dennis en Rianne wonen in hun zelfontworpen, strakke huis in het weiland, Nadia bezoekt de bedenkers van de knakwortel en tuinspecialist Martin brengt eenheid in de tuin van Nicole.
966;25-10-2019;Karakteristiek herenhuis in Heemstede vol buitenlandse herinneringen en Alain Caron helpt mee met de appelpluk in Noord-Holland.
967;27-10-2019;Een zelfontworpen droomhuis met eigen veerpont, schapen hoeden in hartje Rotterdam en Leon kookt samen met een Achterhoekse collega-chef-kok.
968;28-10-2019;Emiel en Annemarie wonen midden in de natuur bij Deventer, Sharon maakt pompoencurry en de mooie natuurbegraafplaats De Hoevens in Alphen.
969;29-10-2019;Interieurstylist Theo-Bert helpt Amanda en Redmer met hun slaapkamer en culinair expert Alain Caron maakt kennis met vegan landbouw.
970;30-10-2019;Elbrecht woont zelfvoorzienend in een ger. Ramon maakt een rollade met zuurkool. Het park van begraafplaats Moscowa in Arnhem.
971;31-10-2019;Judith verbouwt een kloosterkapel tot droomhuis en Leon is bij een boer waar de kalfjes bij de koe blijven en maakt rijstepap.
972;1-11-2019;José en Maarten wonen in een huis vol vintage, Ramon maakt foreltartaar en boswachter Marieke bezoekt een hunebed en grafheuvels in Drenthe.
973;3-11-2019;Biologisch geteelde sierbloemen in Loosdrecht, een historisch huis in Oosterleek en Ramon maakt een Bretonse vissoep uit Hollandse wateren.
974;4-11-2019;Chef-kok Ramon is in Friesland bij een peulvruchtenteler en Camilla is in Zeeland op zoek naar steltlopers.
975;5-11-2019;Een klein Rotterdams appartement met grandeur, Sharon maakt een linzencurry met mangochutney en Albert en Geertje leven voor hun landschapstuin met pompoenen.
976;6-11-2019;Madelon heeft haar Amsterdamse grachtenpand zeer gewaagd ingericht en Alain is in Flevoland bij aardappelkweker Evert.
977;7-11-2019;Tuinspecialist Martin maakt van een saaie patio een groene tuin, Ramon maakt Zeeuwse bolussen en Jessica's appartement is hip en vol kleur ingericht.
978;8-11-2019;Een modernistisch ontworpen huis midden in de bossen, Alain Caron bezoekt een biologische varkenshouderij op de Veluwe.
979;10-11-2019;Puur woongeluk in een Friese yurt, Marieke ontdekt de natuur van Fort Sabina en Alain gaat varen én koken met sterrenchef Jonnie Boer.
980;11-11-2019;Een tot woonhuis verbouwde pastorie op Texel, Sharon maakt een vegetarisch wokgerecht, Landgoed Hackfort met zijn mooie kasteeltuin.
981;12-11-2019;Culinair schrijver Nadia Zerouali bezoekt een bijzondere kaasmaker in Dalmsholte en een botanische tuin in Delft vol exotische planten.
982;13-11-2019;Een creatief ingericht gezinshuis in Utrecht, Ramon maakt eigengerookte makreelsalade en Marieke spot de bever in het land van Maas en Waal.
983;14-11-2019;Alain bezoekt vegan camembertmakers, het tamworth-varken wroet in een natuurgebied bij Oldekerk en een duurzaam gemaakt jaren 30-huis.
984;15-11-2019;Chef-kok Leon en sommelier Lendl proeven orange wine in Chaam en Theo-Bert helpt Maria haar eenkamerwoning functioneel in te richten.
985;17-11-2019;Wonen in een kloosterkapel vol eyecatchers, foreltartaar van Ramon en tuinspecialist Martin wekt een saaie patio tot leven.
986;18-11-2019;Een oude meubelfabriek in Venlo, Sharon maakt burritos met kip, bonen en mais en boswachter Marieke gaat op zoek naar egels in het bos.
987;19-11-2019;Een ruime, vrijstaande woning uit 1980, Ramon maakt een sabich met aubergine en landgoed De Oorsprong met beekjes en waterpartijen.
988;20-11-2019;Architectuurhistoricus Valentijn Carbo bezoekt een uniek huis van architect Jan de Jong. Chef-kok Alain Caron bezoekt de eigenaar van een bedrijf dat Japanse visspecialiteiten produceert in IJmuiden.
989;21-11-2019;Een stoere woonboerderij met een kleurrijk interieur en culinair schrijfster Nadia Zerouali is in het 'eetbare' landgoed Roggebotstaete in Dronten.
990;22-11-2019;De duurzaamste drijvende woonwijk van Europa, Alain Caron kookt met aromatische olie en Martin maakt van een kaal dakterras een groene oase.
991;24-11-2019;Een stadsappartement barstensvol kleurige prints, groene rijkdom op Landgoed Hackfort en Alain bereidt biologisch varkensvlees op de Veluwe.
992;25-11-2019;Alain Caron is in een bakkerij in het Noord-Hollandse Zwanenburg en boswachter Marieke gaat op de Veluwe op zoek naar de wolf.
993;26-11-2019;Een urban loft in Amsterdam, Ramon Brugman maakt Thaise dorade met pad thai en een bijzondere beeldentuin in Hillegom.
994;27-11-2019;Levenskunstenaar Jozka woont op een kleine kamer in Deventer, chef-kok Sharon bereidt een Zuid-Afrikaanse ovenschotel en aangesterkte zeehonden gaan terug de zee in.
995;28-11-2019;Theo-Bert Pot neemt de woonkamer van Janneke onderhanden en Leon Mazairac is bij een appelcider-maker.
996;29-11-2019;Een energiezuinige woonboot in Dordrecht, Ramon Brugman bakt taartjes van speculaas en een paddenstoelenkenner in de duinen.
997;1-12-2019;Bijzonder wonen in een oude meubelfabriek, Sharon maakt een hartige taart mét zoete touch en Marieke zoekt langs de Waal naar de bever.
998;2-12-2019;Een bijzonder ecologisch meergeneratiehuis in Den Bosch en Ramon Brugman maakt een ouderwetse banketstaaf.
999;3-12-2019;Therese heeft haar huis volgens de regels van feng shui ingericht, Nadia maakt een gerecht met veganistische kebab en het is herfst in de Hortus Haren in Groningen.
1000;4-12-2019;Hans en Rosita hebben een getijdenmolen uit 1497 helemaal verbouwd tot woonhuis en Alain gaat op bezoek bij een biologische pluimveehouder.
1001;5-12-2019;Sharon maakt een speculaascake, tuinspecialist Martin verwijdert een vijver uit de tuin en Florine heeft haar bovenwoning in Franse stijl ingericht.
1002;6-12-2019;Ramon maakt witte kadetjes met filet americain, Ivo heeft de inrichting van zijn kubuswoning creatief aangepast aan de afmetingen en Camilla is in de duinen van Den Haag getuige van de vogeltrek.
1003;8-12-2019;Vreni en Léon bewonen een waar stadspaleis in Dordrecht en Camilla spot de trekvogels in Zuid-Holland.
1004;9-12-2019;Alles ademt muziek in het oude snoepwinkeltje van Reinier, Boswachter Marieke bezoekt een geheim bos en Ramon maakt hartige pannenkoekjes.
1005;10-12-2019;In Drenthe kun je bijzondere boerderijdieren spotten, Wies houdt van goud in haar interieur en Sharon maakt een vegetarisch stamppotje.
1006;11-12-2019;Bas en Cheyenne wonen in een historisch pand in renaissancestijl en Leon bezoekt bakker Ronald, die rijstepap rijpt in een mergelgrot.
1007;12-12-2019;Piet Rijkels heeft villa Welgelegen in Rijswijk in volle glorie hersteld en Alain leert van Nancy en Michael hoe je de typisch Surinaamse snack fladder maakt.
1008;13-12-2019;Loes woont in een kloosterloft in Nijmegen, Arboretum Oostereng heeft wel vijfhonderd verschillende boomsoorten en Sharon maakt sopaipillas.
1009;15-12-2019;Wonen in een Texelse pastorie, Marieke leert alles over het gedrag van egels en Ramon gaat op de Thaise toer met een dorade.
1010;16-12-2019;Boswachter Marieke ziet tientallen soorten mossen in de duinen en chef-kok Ramon Brugman maakt feestbrownies voor Joris' Kerstboom.
1011;17-12-2019;Marga houdt van kleur in haar interieur, in de Noordoostpolder kun je je eigen kerstboom uitspitten en Sharon maakt kerstamuses.
1012;18-12-2019;Bas en Romy wonen met vijf kinderen in de imposante Lambertuskerk in Maastricht en chef-kok Leon Mazairac maakt kerstpaté op de Veluwe.
1013;19-12-2019;Het landelijke huis van Anita en Marius in Mill is volledig in kerstsfeer en culinair expert Alain Caron maakt een hoofdgerecht van een bijzonder varken voor kerst.
1014;20-12-2019;De winterse tuin van abdij Rolduc zit vol maretakken en hulst, Ilse heeft haar kersthuis in Hollywoodstijl ingericht en culinair schrijfser Nadia Zerouali maakt een kersttoetje van Syrisch ijs.
1015;22-12-2019;In Utrecht gaat interieurstylist Theo-Bert Pot aan de slag met de woonkamer en boswachter Marieke Schatteleijn is op de Veluwe op zoek naar wolven.
1016;23-12-2019;Theo-Berts kerstmissie in de vrouwengevangenis voor familieleden en vogelaars Camilla en Dirk spotten de grote zilverreiger in het Deltagebied.
1017;24-12-2019;Een knus Haags appartementje volledig in kerstsfeer, Sharon maakt erwtensoep op Surinaamse wijze en de tuinen van landgoed Kasteel de Haar.
1018;25-12-2019;Suzanne hult haar huis in Japanse kerstsfeer, Ramon maakt mokka-oublies en in het bos van Nancy kun je je kerstboom terugplanten.
1019;26-12-2019;Emeritus pastoor Theo van der Sman laat zijn pastoriewoning vol verzamelingen zien en Alain proeft de Afrikaanse oliebol van Barbara en Beng.
1020;27-12-2019;Fenneken en Pim hebben landgoed Schouwenburg gerestaureerd, chef-koks Leon en Jan printen 3D-voedsel en de Limburgse maretakken van Jos.
1021;29-12-2019;Piet heeft het weelderige landgoed Welgelegen in volle glorie gerestaureerd en Ramon maakt hartige pannenkoekjes en zeehonden op Texel.
1022;2-1-2020;Jorn en Anneloes bouwen voor slechts 5000 euro in Culemborg een zelfvoorzienend huis van recyclemateriaal en Paulien en Carlo bouwen een tiny house in de wijk Minitopia in Den Bosch.
1023;6-1-2020;Een hippe, industriële loft in Eindhoven, Ramon maakt een frietje speciaal met kaassoufflés en Marieke wandelt over de 'holle wegen' in Limburg.
1024;7-1-2020;Een energiezuinig huis met buitenslaapkamer, Sharon maakt tabouleh, een quinoasalade met paneer en een toevluchtsoord voor verwaarloosde dieren.
1025;8-1-2020;Een stylish herenhuis in Haarlem, Ramon maakt gevlinderde kip, caesarsalade en Reibekuchen en Martin knapt de bostuin op van Beppie in Drenthe.
1026;9-1-2020;In Arnhem hebben Xandra en Rolf een pronkhuis uit 1865 volledig gerestaureerd en chef-kok Leon Mazairac maakt een broodje kraai.
1027;10-1-2020;In Peter en Lennaerts huis is overal hun fascinatie voor de 19e eeuw te zien en Alain maakt iets lekkers met ambachtelijk bereide, traditionele tofu.
1028;12-1-2020;Joeny woont met haar gezin in een Amsterdamse loft en chef-kok Ramon maakt witte kadetten met filet americain.
1029;13-1-2020;Wonen in een oude pottenbakkerij, Ramon maakt kikkererwtenpannenkoekjes en Marieke bezoekt een natuurgebied bij de IJssel.
1030;14-1-2020;Theo-Bert maakt een woonkamer winterknus, Sharon maakt cassavesoep en Nanning is dol op zijn zeldzame Longhornrunderen.
1031;15-1-2020;Alain Caron maakt iets lekkers van echte, versgeteelde knoflook en wonen in een ambachtelijk gebouwd huis, vol authentieke details, in Breda.
1032;16-1-2020;Wonen in een duurzaam gemaakte oude kleuterschool, Sharon maakt spanakopita ofwel gevuld filodeeg en een bezoek aan Park Rusthof in Sassenheim.
